Scene,Method,Zoom,PSNR,SSIM,LPIPS,EntropyMean
truck,Baseline,x1,26.1252,0.9204,0.0858,0.3151
truck,Baseline,x2,22.6990,0.7833,0.1786,0.3151
truck,Baseline,x4,23.1536,0.8019,0.2649,0.3151
truck,Split,x1,26.1751,0.9244,0.0762,0.4732
truck,Split,x2,22.6430,0.7829,0.1769,0.4732
truck,Split,x4,23.1664,0.8018,0.2648,0.4732
truck,Full,x1,25.2842,0.9027,0.1049,0.5331
truck,Full,x2,24.3840,0.8306,0.1440,0.5331
truck,Full,x4,25.9784,0.8710,0.1858,0.5331
playroom,Baseline,x1,30.3682,0.9258,0.1495,0.3141
playroom,Baseline,x2,31.8859,0.9360,0.1573,0.3141
playroom,Baseline,x4,31.5097,0.9320,0.1518,0.3141
playroom,Split,x1,30.5522,0.9297,0.1425,0.3850
playroom,Split,x2,31.9698,0.9386,0.1522,0.3850
playroom,Split,x4,31.6224,0.9351,0.1484,0.3850
playroom,Full,x1,30.4541,0.9264,0.1558,0.3219
playroom,Full,x2,32.8285,0.9474,0.1403,0.3219
playroom,Full,x4,32.8684,0.9509,0.1197,0.3219
